species_id,species,canonical_index
1,Acanthosomatidae_cluster1,1
2,Acaridae_cluster3,2
4,Agromyzidae_cluster46,4
5,Agromyzidae_cluster57,5
6,Amaurobiidae_cluster1,6
7,Anisopodidae_cluster1,7
8,Anisopodidae_cluster2,8
9,Anisopodidae_cluster3,9
10,Anisopodidae_cluster4,10
11,Anisopodidae_cluster5,11
12,Anobiidae_cluster1,12
13,Anthomyiidae_cluster103,13
14,Anthomyiidae_cluster2,14
15,Anthomyiidae_cluster21,15
16,Anthomyiidae_cluster26,16
17,Anthomyiidae_cluster32,17
18,Anthomyiidae_cluster39,18
19,Anthomyiidae_cluster61,19
20,Anthomyiidae_cluster74,20
21,Anthribidae_cluster1,21
23,Aphididae_cluster15,23
24,Aphididae_cluster16,24
25,Aphididae_cluster2,25
26,Aphididae_cluster36,26
27,Aphididae_cluster5,27
28,Apidae_cluster2,28
29,Apidae_cluster43,29
30,Araneidae_cluster4,30
31,Ascidae_cluster2,31
32,Aulacigastridae_cluster1,32
33,Aulacigastridae_cluster2,33
34,Bolitophilidae_cluster1,34
35,Bolitophilidae_cluster4,35
36,Braconidae_cluster148,36
37,Braconidae_cluster315,37
38,Braconidae_cluster44,38
39,Braconidae_cluster52,39
40,Braconidae_cluster529,40
41,Braconidae_cluster638,41
42,Braconidae_cluster68,42
43,Brentidae_cluster1,43
44,Caeciliusidae_cluster1,44
45,Calliphoridae_cluster3,45
46,Calliphoridae_cluster7,46
47,Cecidomyiidae_cluster130,47
48,Cecidomyiidae_cluster132,48
49,Cecidomyiidae_cluster1372,49
50,Cecidomyiidae_cluster1412,50
51,Cecidomyiidae_cluster142,51
52,Cecidomyiidae_cluster148,52
53,Cecidomyiidae_cluster153,53
54,Cecidomyiidae_cluster156,54
55,Cecidomyiidae_cluster1587,55
56,Cecidomyiidae_cluster172,56
57,Cecidomyiidae_cluster174,57
58,Cecidomyiidae_cluster177,58
59,Cecidomyiidae_cluster194,59
60,Cecidomyiidae_cluster198,60
61,Cecidomyiidae_cluster2,61
63,Cecidomyiidae_cluster23,63
64,Cecidomyiidae_cluster25,64
65,Cecidomyiidae_cluster313,65
66,Cecidomyiidae_cluster316,66
67,Cecidomyiidae_cluster32,67
68,Cecidomyiidae_cluster34,68
69,Cecidomyiidae_cluster43,69
70,Cecidomyiidae_cluster436,70
71,Cecidomyiidae_cluster46,71
72,Cecidomyiidae_cluster544,72
73,Cecidomyiidae_cluster599,73
74,Cecidomyiidae_cluster6,74
75,Cecidomyiidae_cluster615,75
76,Cecidomyiidae_cluster653,76
77,Cecidomyiidae_cluster662,77
78,Cecidomyiidae_cluster70,78
79,Cecidomyiidae_cluster790,79
80,Cecidomyiidae_cluster849,80
81,Cecidomyiidae_cluster920,81
82,Cecidomyiidae_cluster99,82
83,Cerambycidae_cluster17,83
84,Cerambycidae_cluster3,84
85,Ceraphronidae_cluster123,85
86,Ceraphronidae_cluster4,86
87,Ceraphronidae_cluster9,87
88,Ceratopogonidae_cluster44,88
89,Ceratopogonidae_cluster45,89
90,Ceratopogonidae_cluster67,90
91,Chamaemyiidae_cluster1,91
92,Chironomidae_cluster1,92
93,Chironomidae_cluster10,93
94,Chironomidae_cluster104,94
95,Chironomidae_cluster105,95
96,Chironomidae_cluster11,96
97,Chironomidae_cluster15,97
98,Chironomidae_cluster17,98
99,Chironomidae_cluster19,99
100,Chironomidae_cluster2,100
101,Chironomidae_cluster222,101
102,Chironomidae_cluster224,102
103,Chironomidae_cluster23,103
104,Chironomidae_cluster24,104
105,Chironomidae_cluster25,105
106,Chironomidae_cluster26,106
107,Chironomidae_cluster3,107
108,Chironomidae_cluster30,108
109,Chironomidae_cluster312,109
110,Chironomidae_cluster32,110
111,Chironomidae_cluster341,111
112,Chironomidae_cluster387,112
113,Chironomidae_cluster41,113
114,Chironomidae_cluster415,114
115,Chironomidae_cluster44,115
116,Chironomidae_cluster440,116
117,Chironomidae_cluster51,117
118,Chironomidae_cluster532,118
119,Chironomidae_cluster60,119
120,Chironomidae_cluster89,120
121,Chironomidae_cluster9,121
122,Chloropidae_cluster10,122
123,Chloropidae_cluster48,123
124,Chloropidae_cluster8,124
125,Chrysomelidae_cluster25,125
126,Chrysomelidae_cluster3,126
127,Chrysomelidae_cluster30,127
128,Chrysomelidae_cluster55,128
129,Chrysomelidae_cluster9,129
130,Chrysopidae_cluster3,130
131,Chrysopidae_cluster4,131
132,Cicadellidae_cluster1,132
133,Cicadellidae_cluster13,133
134,Cicadellidae_cluster169,134
135,Cicadellidae_cluster2,135
136,Cicadellidae_cluster31,136
137,Cicadellidae_cluster4,137
138,Cicadellidae_cluster8,138
139,Cleridae_cluster1,139
140,Clubionidae_cluster5,140
141,Clubionidae_cluster6,141
142,Clubionidae_cluster8,142
143,Coccinellidae_cluster1,143
144,Coccinellidae_cluster11,144
145,Coccinellidae_cluster19,145
146,Cryptophagidae_cluster1,146
147,Cryptophagidae_cluster2,147
148,Cryptophagidae_cluster3,148
149,Culicidae_cluster4,149
150,Curculionidae_cluster1,150
151,Curculionidae_cluster11,151
152,Curculionidae_cluster16,152
153,Curculionidae_cluster2,153
154,Curculionidae_cluster21,154
155,Curculionidae_cluster22,155
156,Curculionidae_cluster24,156
157,Curculionidae_cluster3,157
158,Curculionidae_cluster38,158
159,Curculionidae_cluster5,159
160,Curculionidae_cluster8,160
161,Cybaeidae_cluster1,161
162,Cynipidae_cluster13,162
163,Diapriidae_cluster1,163
164,Diapriidae_cluster119,164
165,Diapriidae_cluster163,165
167,Diapriidae_cluster19,167
168,Diapriidae_cluster22,168
169,Diapriidae_cluster30,169
170,Diapriidae_cluster328,170
171,Diapriidae_cluster71,171
172,Diapriidae_cluster9,172
173,Dictynidae_cluster1,173
174,Diprionidae_cluster8,174
175,Dolichopodidae_cluster12,175
176,Dolichopodidae_cluster38,176
177,Drosophilidae_cluster11,177
178,Drosophilidae_cluster12,178
179,Dryinidae_cluster29,179
180,Ectobiidae_cluster1,180
181,Elachistidae_cluster1,181
182,Elachistidae_cluster2,182
183,Elachistidae_cluster6,183
184,Elachistidae_cluster9,184
185,Elateridae_cluster1,185
186,Empididae_cluster16,186
187,Empididae_cluster56,187
188,Empididae_cluster9,188
189,Entomobryidae_cluster1,189
190,Entomobryidae_cluster11,190
191,Entomobryidae_cluster165,191
192,Entomobryidae_cluster2,192
193,Entomobryidae_cluster33,193
194,Entomobryidae_cluster5,194
195,Entomobryidae_cluster6,195
196,Entomobryidae_cluster7,196
197,Ephydridae_cluster6,197
198,Eremaeidae_cluster1,198
199,Eriocraniidae_cluster7,199
200,Fanniidae_cluster4,200
201,Fanniidae_cluster8,201
202,Formicidae_cluster1,202
203,Formicidae_cluster2,203
204,Formicidae_cluster3,204
205,Formicidae_cluster6,205
206,Formicidae_cluster7,206
207,Gelechiidae_cluster13,207
208,Gelechiidae_cluster14,208
209,Gracillariidae_cluster2,209
210,Gracillariidae_cluster3,210
212,Heleomyzidae_cluster1,212
213,Heleomyzidae_cluster10,213
214,Heleomyzidae_cluster11,214
215,Heleomyzidae_cluster23,215
216,Heleomyzidae_cluster45,216
217,Hybotidae_cluster119,217
218,Hybotidae_cluster98,218
219,Hypogastruridae_cluster2,219
220,Ichneumonidae_cluster1211,220
221,Ichneumonidae_cluster123,221
222,Ichneumonidae_cluster125,222
223,Ichneumonidae_cluster132,223
224,Ichneumonidae_cluster179,224
225,Ichneumonidae_cluster221,225
226,Ichneumonidae_cluster239,226
227,Ichneumonidae_cluster311,227
228,Ichneumonidae_cluster319,228
229,Ichneumonidae_cluster332,229
230,Ichneumonidae_cluster441,230
231,Ichneumonidae_cluster512,231
232,Ichneumonidae_cluster580,232
233,Ichneumonidae_cluster615,233
234,Ichneumonidae_cluster64,234
235,Ichneumonidae_cluster656,235
236,Ichneumonidae_cluster73,236
237,Ichneumonidae_cluster743,237
238,Ichneumonidae_cluster867,238
239,Ichneumonidae_cluster882,239
240,Isotomidae_cluster8,240
241,Latridiidae_cluster1,241
242,Latridiidae_cluster10,242
243,Latridiidae_cluster15,243
244,Latridiidae_cluster2,244
245,Latridiidae_cluster3,245
246,Latridiidae_cluster4,246
247,Latridiidae_cluster7,247
248,Linyphiidae_cluster112,248
249,Linyphiidae_cluster20,249
250,Linyphiidae_cluster57,250
252,Linyphiidae_cluster89,252
253,Liocranidae_cluster1,253
254,Lonchaeidae_cluster1,254
255,Lycaenidae_cluster1,255
256,Lygaeidae_cluster1,256
257,Lymexylidae_cluster1,257
258,Lyonetiidae_cluster4,258
259,Lyonetiidae_cluster5,259
260,Lypusidae_cluster2,260
261,Megaspilidae_cluster5,261
262,Milichiidae_cluster1,262
263,Miridae_cluster1,263
264,Miridae_cluster2,264
265,Miridae_cluster20,265
266,Miridae_cluster26,266
267,Miridae_cluster35,267
268,Miridae_cluster7,268
269,Monotomidae_cluster1,269
270,Muscidae_cluster11,270
271,Muscidae_cluster122,271
272,Muscidae_cluster14,272
273,Muscidae_cluster2,273
274,Muscidae_cluster23,274
275,Muscidae_cluster28,275
276,Muscidae_cluster31,276
277,Muscidae_cluster39,277
278,Muscidae_cluster54,278
279,Muscidae_cluster73,279
280,Mycetophagidae_cluster1,280
281,Mycetophilidae_cluster1,281
282,Mycetophilidae_cluster103,282
283,Mycetophilidae_cluster11,283
284,Mycetophilidae_cluster113,284
285,Mycetophilidae_cluster148,285
286,Mycetophilidae_cluster152,286
287,Mycetophilidae_cluster177,287
288,Mycetophilidae_cluster185,288
289,Mycetophilidae_cluster190,289
290,Mycetophilidae_cluster23,290
291,Mycetophilidae_cluster27,291
292,Mycetophilidae_cluster270,292
293,Mycetophilidae_cluster284,293
294,Mycetophilidae_cluster29,294
295,Mycetophilidae_cluster3,295
296,Mycetophilidae_cluster30,296
297,Mycetophilidae_cluster306,297
298,Mycetophilidae_cluster312,298
299,Mycetophilidae_cluster348,299
300,Mycetophilidae_cluster45,300
301,Mycetophilidae_cluster457,301
302,Mycetophilidae_cluster48,302
303,Mycetophilidae_cluster5,303
304,Mycetophilidae_cluster59,304
305,Mycetophilidae_cluster63,305
306,Mycetophilidae_cluster9,306
307,Mycetophilidae_cluster97,307
308,Nabidae_cluster3,308
309,Noctuidae_cluster15,309
310,Noctuidae_cluster26,310
311,Orchesellidae_cluster1,311
312,Oribatulidae_cluster1,312
313,Oribatulidae_cluster2,313
314,Parasitidae_cluster1,314
315,Philodromidae_cluster1,315
316,Philodromidae_cluster10,316
317,Philodromidae_cluster9,317
318,Phoridae_cluster102,318
319,Phoridae_cluster106,319
320,Phoridae_cluster11,320
321,Phoridae_cluster115,321
322,Phoridae_cluster118,322
323,Phoridae_cluster127,323
324,Phoridae_cluster13,324
325,Phoridae_cluster14,325
326,Phoridae_cluster15,326
327,Phoridae_cluster155,327
328,Phoridae_cluster163,328
329,Phoridae_cluster169,329
330,Phoridae_cluster17,330
331,Phoridae_cluster21,331
332,Phoridae_cluster251,332
333,Phoridae_cluster253,333
334,Phoridae_cluster27,334
335,Phoridae_cluster303,335
336,Phoridae_cluster31,336
337,Phoridae_cluster35,337
338,Phoridae_cluster4,338
339,Phoridae_cluster42,339
340,Phoridae_cluster5,340
341,Phoridae_cluster52,341
342,Phoridae_cluster53,342
343,Phoridae_cluster66,343
344,Phoridae_cluster69,344
345,Phoridae_cluster88,345
346,Phoridae_cluster97,346
347,Polleniidae_cluster1,347
348,Polleniidae_cluster2,348
349,Polleniidae_cluster3,349
350,Polleniidae_cluster4,350
351,Polleniidae_cluster5,351
352,Polleniidae_cluster6,352
353,Polleniidae_cluster7,353
354,Psychodidae_cluster23,354
355,Psychodidae_cluster3,355
356,Psychodidae_cluster6,356
357,Psyllidae_cluster1,357
358,Psyllidae_cluster6,358
359,Pteromalidae_cluster22,359
360,Ptinidae_cluster4,360
361,Rhyparochromidae_cluster11,361
362,Rhyparochromidae_cluster14,362
363,Rhyparochromidae_cluster4,363
364,Rhyparochromidae_cluster7,364
365,Salpingidae_cluster1,365
366,Scathophagidae_cluster1,366
367,Scathophagidae_cluster2,367
368,Scathophagidae_cluster3,368
369,Scathophagidae_cluster4,369
370,Scathophagidae_cluster7,370
371,Sciaridae_cluster1,371
372,Sciaridae_cluster103,372
373,Sciaridae_cluster104,373
374,Sciaridae_cluster12,374
375,Sciaridae_cluster127,375
376,Sciaridae_cluster129,376
377,Sciaridae_cluster130,377
378,Sciaridae_cluster14,378
379,Sciaridae_cluster145,379
380,Sciaridae_cluster155,380
381,Sciaridae_cluster159,381
382,Sciaridae_cluster161,382
383,Sciaridae_cluster164,383
384,Sciaridae_cluster2,384
385,Sciaridae_cluster219,385
386,Sciaridae_cluster23,386
387,Sciaridae_cluster29,387
388,Sciaridae_cluster3,388
389,Sciaridae_cluster30,389
390,Sciaridae_cluster38,390
391,Sciaridae_cluster39,391
392,Sciaridae_cluster4,392
393,Sciaridae_cluster40,393
394,Sciaridae_cluster432,394
395,Sciaridae_cluster45,395
396,Sciaridae_cluster468,396
397,Sciaridae_cluster5,397
398,Sciaridae_cluster6,398
399,Sciaridae_cluster62,399
400,Sciaridae_cluster7,400
401,Sciaridae_cluster72,401
402,Sciaridae_cluster76,402
403,Sciaridae_cluster8,403
404,Sciaridae_cluster80,404
405,Sciaridae_cluster84,405
406,Sciaridae_cluster86,406
407,Sciaridae_cluster87,407
408,Sciaridae_cluster93,408
409,Sciaridae_cluster95,409
410,Sciaridae_cluster97,410
411,Scirtidae_cluster1,411
412,Scirtidae_cluster3,412
413,Scirtidae_cluster4,413
414,Scirtidae_cluster6,414
415,Segestriidae_cluster1,415
416,Sepsidae_cluster2,416
417,Sepsidae_cluster4,417
418,Sepsidae_cluster6,418
419,Sepsidae_cluster7,419
420,Silvanidae_cluster1,420
421,Simuliidae_cluster1,421
422,Sphaeroceridae_cluster1,422
423,Sphaeroceridae_cluster10,423
424,Sphaeroceridae_cluster12,424
425,Sphaeroceridae_cluster25,425
426,Sphaeroceridae_cluster36,426
427,Sphaeroceridae_cluster5,427
428,Sphaeroceridae_cluster63,428
429,Sphaeroceridae_cluster8,429
430,Staphylinidae_cluster210,430
431,Staphylinidae_cluster22,431
432,Staphylinidae_cluster25,432
433,Staphylinidae_cluster29,433
434,Staphylinidae_cluster4,434
435,Staphylinidae_cluster7,435
436,Staphylinidae_cluster9,436
437,Staphylinidae_cluster95,437
438,Tachinidae_cluster107,438
439,Tachinidae_cluster14,439
440,Tachinidae_cluster19,440
441,Tachinidae_cluster2,441
442,Tachinidae_cluster29,442
443,Tachinidae_cluster5,443
444,Tachinidae_cluster6,444
445,Tachinidae_cluster8,445
446,Tachinidae_cluster81,446
447,Tenthredinidae_cluster1,447
448,Tenthredinidae_cluster63,448
449,Tephritidae_cluster16,449
450,Tetragnathidae_cluster3,450
451,Theridiidae_cluster1,451
452,Theridiidae_cluster2,452
453,Theridiidae_cluster9,453
454,Thomisidae_cluster1,454
455,Thomisidae_cluster3,455
456,Thripidae_cluster1,456
457,Thripidae_cluster2,457
458,Thripidae_cluster3,458
459,Thripidae_cluster6,459
460,Thripidae_cluster7,460
462,Throscidae_cluster4,462
463,Tortricidae_cluster1,463
464,Tortricidae_cluster72,464
465,Tortricidae_cluster92,465
466,Trichoceridae_cluster1,466
467,Trichoceridae_cluster2,467
468,Trichoceridae_cluster3,468
469,Triozidae_cluster1,469
470,Triozidae_cluster17,470
471,Triozidae_cluster3,471
472,Triozidae_cluster5,472
