otu_repeat;BOLD_Tax Rank;BOLD_Phylum;BOLD_Class;BOLD_Order;BOLD_Family;BOLD_Subfamily;BOLD_Genus;BOLD_Species;BOLD_Confidence;BOLD_Supporting Recs
otu100;;;;;;;;;;0
otu1054;GENUS;Arthropoda;Insecta;Hymenoptera;Mymaridae;;Anagrus;;100;8
otu1063;;;;;;;;;;0
otu1134;;;;;;;;;;0
otu1209;FAMILY;Arthropoda;Insecta;Hymenoptera;Pteromalidae;;;;100;4
otu1220;;;;;;;;;;0
otu130;GENUS;Arthropoda;Insecta;Diptera;Ephydridae;Ephydrinae;Limnellia;;99,96;19
otu154;GENUS;Arthropoda;Insecta;Hemiptera;Cicadellidae;Typhlocybinae;Hebata;;100;2
otu16;;;;;;;;;;0
otu162;FAMILY;Arthropoda;Insecta;Diptera;Cecidomyiidae;;;;100;4
otu179;;;;;;;;;;0
otu227;FAMILY;Arthropoda;Arachnida;Trombidiformes;Erythraeidae;;;;100;25
otu229;GENUS;Arthropoda;Insecta;Diptera;Heleomyzidae;Suilliinae;Suillia;;100;1
otu230;;;;;;;;;;0
otu234;;;;;;;;;;0
otu235;GENUS;Arthropoda;Insecta;Thysanoptera;Thripidae;Thripinae;Drepanothrips;;100;10
otu238;SPECIES;Arthropoda;Insecta;Diptera;Mycetophilidae;Mycetophilinae;Allodia;Allodia lugens;100;21
otu239;SUBFAMILY;Arthropoda;Arachnida;Trombidiformes;Anystidae;Anystinae;;;100;4
otu24;GENUS;Arthropoda;Insecta;Hymenoptera;Ceraphronidae;;Aphanogmus;;100;23
otu26;CLASS;Arthropoda;Arachnida;;;;;;100;7
otu264;GENUS;Arthropoda;Insecta;Hymenoptera;Ceraphronidae;;Aphanogmus;;94,23;12
otu273;GENUS;Arthropoda;Insecta;Hymenoptera;Megaspilidae;Megaspilinae;Conostigmus;;100;5
otu295;FAMILY;Arthropoda;Insecta;Diptera;Cecidomyiidae;;;;100;5
otu315;;;;;;;;;;0
otu323;;;;;;;;;;0
otu329;FAMILY;Arthropoda;Insecta;Diptera;Dolichopodidae;;;;100;2
otu357;;;;;;;;;;0
otu36;GENUS;Arthropoda;Insecta;Hymenoptera;Ceraphronidae;;Aphanogmus;;100;16
otu369;GENUS;Arthropoda;Insecta;Diptera;Sciaridae;;Corynoptera;;100;8
otu37;;;;;;;;;;0
otu376;GENUS;Arthropoda;Insecta;Hymenoptera;Diapriidae;Belytinae;Aprestes;;100;3
otu387;GENUS;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Isotominae;Pseudisotoma;;100;1
otu408;SPECIES;Arthropoda;Arachnida;Araneae;Linyphiidae;;Nusoncus;Nusoncus nasutus;100;8
otu417;SPECIES;Arthropoda;Insecta;Diptera;Cecidomyiidae;Porricondylinae;Paratetraneuromyia;Paratetraneuromyia vernalis;100;4
otu426;;;;;;;;;;0
otu436;FAMILY;Arthropoda;Insecta;Diptera;Ceratopogonidae;;;;100;5
otu442;;;;;;;;;;0
otu449;GENUS;Arthropoda;Insecta;Hymenoptera;Ceraphronidae;;Aphanogmus;;100;2
otu456;;;;;;;;;;0
otu461;;;;;;;;;;0
otu466;FAMILY;Arthropoda;Arachnida;Sarcoptiformes;Oribatulidae;;;;100;12
otu467;FAMILY;Arthropoda;Arachnida;Trombidiformes;Erythraeidae;;;;100;6
otu503;GENUS;Arthropoda;Insecta;Thysanoptera;Thripidae;Thripinae;Mycterothrips;;100;3
otu504;;;;;;;;;;0
otu520;;;;;;;;;;0
otu524;SPECIES;Arthropoda;Insecta;Lepidoptera;Eriocraniidae;;Eriocrania;Eriocrania semipurpurella;90,88;20
otu525;SPECIES;Arthropoda;Arachnida;Sarcoptiformes;Ceratozetidae;;Diapterobates;Diapterobates humeralis;100;4
otu553;SPECIES;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;Oppiellinae;Oppiella;Oppiella nova;100;6
otu555;;;;;;;;;;0
otu578;SPECIES;Arthropoda;Insecta;Hymenoptera;Diapriidae;Diapriinae;Trichopria;Trichopria aequata;100;23
otu602;FAMILY;Arthropoda;Arachnida;Mesostigmata;Ascidae;;;;100;21
otu609;GENUS;Arthropoda;Insecta;Hymenoptera;Megaspilidae;Megaspilinae;Conostigmus;;100;22
otu631;;;;;;;;;;0
otu636;FAMILY;Arthropoda;Insecta;Hymenoptera;Ceraphronidae;;;;100;10
otu643;;;;;;;;;;0
otu667;;;;;;;;;;0
otu668;;;;;;;;;;0
otu696;FAMILY;Arthropoda;Arachnida;Sarcoptiformes;Oribatulidae;;;;100;11
otu721;;;;;;;;;;0
otu723;;;;;;;;;;0
otu747;SPECIES;Arthropoda;Arachnida;Araneae;Linyphiidae;;Cnephalocotes;Cnephalocotes obscurus;100;10
otu770;GENUS;Arthropoda;Arachnida;Sarcoptiformes;Oribatulidae;;Phauloppia;;100;11
otu80;;;;;;;;;;0
otu955;FAMILY;Arthropoda;Arachnida;Trombidiformes;Erythraeidae;;;;100;8
otu983;SPECIES;Arthropoda;Arachnida;Araneae;Linyphiidae;;Pelecopsis;Pelecopsis elongata;100;3